Anul,Titlu
1926,STAATSPETROLEUM-TERREINEN IN ROEMENIË. Nieuwe concessies.
1928,Nieuwe sondes Astra Romana.
1929,TIEN DOODEN TENGEVOLGE VAN EENE ONTPLOFFING.
1931,Nieuwe petroleumbrand
1925,ROMANA AMERICANA. Bron na. 1 te Moreni wederom in productie.
1917,Steaua Romana.
1931,NIEUWE PETROLEUMBRAND BIJ MORENI. Zes arbeiden gewond.
1931,PETROLEUMBRAND IN ROEMENIE. 10 millioen schade.
1929,DE GEWELDIGE PETROLEUMBRAND IN ROEMENIE — bij de
1930,Brand in Roemeensehe petroleumbronnen.
1987,ROEMENIË
1929,DE GEWELDIGE PETROLEUMBRAND IN ROEMENIE
1939,Petroleumreservoirs in Roemenië in brand.
1924,Getrouwd:
1930,DE BRAND IN DE RUMEENSCHE PETROLEUMVELDEN.
1925,DE KLEINE LEIDSCHE LUCHTREIZIGER. — DE SCHOUWBURG TE HEERLEN — GROOTE PETROLEUMBRAND
1913,Brand.
1929,Ketelintploffing.
1927,Petroleumbronnen in brand.
1928,Petroleumbranden.
1925,VAN HEINDE EN VERRE. Petroleumbranden in Roemenië.
1925,"Een foto van den petroleumbrand in Moreni, waar een sonde van de „Romana-Americana"" twee en een halve maand lang achtereen heeft gebrand. Vijfhonderd millioen lei is hierdoor in rook opgegaan!"
1928,ASTRA ROMANA. Bron 268 Moreni produceert 60 petroleum per dag.
1927,ASTRA ROMANA. Bron no. 258 in het Moreni-gebied tot eruptie gekomen.
1928,CONCORDIA. Brom 79 Moreni in productie.
1910,De wedstrijden te Roubaix
1929,ASTRA ROMANA. Bronnen in productie.
1929,Ketelontploffing eischt 10 dooden.
1929,Petroleum-industrie.
1929,DE RETRODEDKILRAND TE MORENI
1929,"Links: EEN VKRSOniïIKKELIJKE ONTPLOFFING had plaats in een petroieumrafl'inaderij te Moreni, De explosie, waarbij 12 arbeiders en een Engelsche Ingenieur gedood werden, was op 8 K.M. afstand te hooren. Een kijkje op de ruïne."
1925,DE KLEINE LEIDSCHE LUCHTREIZIGER. – DE SCHOUWBURG TE HEERLEN – GROOTE PETROLEUMBRAND
1929,"Opnieuw heeft een groote petroleumbrand in Roemenië gewoed. Ditmaal is het een der boorputten nabij Moreni, die door kortsluiting in brand geraakte. Hoe de roode haan koning kraait tusschen het ineenstortende mensehenwerk."
1929,DE GEWELDIGE PETROLEIMBRAND IN ROEMENIE — bij de bronnen van de Romano-Americano Petroleum Mijbij Moreni. De vlammen stijgen tot 500 voet hoogte. Dfl hitte is tot 600 meter afstand verzengend.
1930,Brand in Roemeensche petroleumbronnen.
1929,Petroleum-brand.
1930,Uit de petroleumwereld.
1939,ROEMENIË Aanzienlijke schade doorpetroleumbrand.
1985,'Viva Italia'
1927,"ROEMENIE,"
1927,ROEMENIE. Vijf petroleumbronnen in brand.
1927,ROEMENIE Vijf petroleumbronnen in brand.
1929,ROEMENIE Stoomketel ontploft; 10 dooden.
1931,Nieuwe petroleumbrand in Roemenië.
1939,ROEMENIË Aanzienlijke schade doorpetroleumbrand.
1929,ROEMENIE
1926,DE ROEMEENSCHE PETROLEUMINDUSTRIE.
1930,ASTRA ROMANA. Bron in productie gebracht.
1923,Astra Romann.
1923,Concordia.
1929,De Donaulanden.
1927,Petroleumbronnen in brand.
1927,Astra Romana.
1925,"Een Roemeensch medewerker zend', ons deze foto van den petroleumbrand in Moreni. waar een sonde van de „Romana-Americana"" twee en een halve maand lang achtereen heeft gebrand.» Vijfhonderd millioen lei is hierdoor in rook opgegaanl"
1926,UIT DE PETROLEUM-INDUSTRIE. Productie Steaua Romana.
1928,ASTRA ROMANA. Nieuwe sondes.
1928,ASTRA ROMANA. Nieuwe bron.
1928,EEN PETROLEUMVELD IN BRAND. Hoog slaan de vlammen uit de oliebronnen te
1931,NIEUWE PETROLEUMBRAND NABIJ MORENE
1912,PETROLEUM.
1915,FINANCIEELE MEDEDEELINGEN. ASTRA ROMANA.
1913,Uit de Petroieum-irstiustrie.
1929,DE BRAND IN DE OLIE
1934,EEN SPROOKJESSLOT TE PURMEREND. — Pur-
1930,ROEMENIË. Een ernstige ontploffing.
1937,"RONDE VAN ITALIË, Birli stapelt overwinningen op."
1930,Ernstige ontploffing.
